List,Name,Description,Labels,Priority
Post-lanzamiento,Soporte al usuario,Email de soporte + sección de FAQ + tiempo de respuesta <48h,Operaciones · Soporte,Alta
Post-lanzamiento,Responder reseñas App Store,Responder a todas las reseñas en las primeras 24-48h (mejora ranking ASO),Marketing · ASO,Alta
Post-lanzamiento,Health Connect Android,Una vez Expo SDK 55+ con Kotlin 2.x esté disponible — equivalente Android de Apple Health,Producto · Integración,Media
Post-lanzamiento,Notificaciones push remotas,Migrar a notificaciones servidas desde backend (campañas personalizadas · re-engagement),Producto · Engagement,Media
Post-lanzamiento,Modo oscuro,Implementar dark mode completo en todas las pantallas,Producto · UX,Baja
Post-lanzamiento,Apple Watch companion app,App nativa para watchOS con tracking rápido + recordatorios en muñeca,Producto · Plataforma,Baja
Post-lanzamiento,Widgets iOS / Android,Widget en pantalla de inicio con día del ciclo + sesión de hoy,Producto · Plataforma,Media
Post-lanzamiento,Integraciones (Strava · Garmin · etc),Importar entrenos desde otras plataformas además de Apple Health,Producto · Integración,Media
Post-lanzamiento,Compartir con pareja,Función para compartir el calendario del ciclo con tu pareja (con permisos),Producto · Social,Baja
Post-lanzamiento,Community / Foro in-app,Espacio para que las usuarias compartan experiencias por condición (PCOS · endo...),Producto · Comunidad,Baja
Post-lanzamiento,Recetas con generación IA,Generar recetas personalizadas vía IA respetando dieta + alergias + macros del día,Producto · IA,Media
Post-lanzamiento,Coaching humano premium,Tier premium con seguimiento humano por una dietista o coach (revenue extra),Negocio · Premium,Baja
Post-lanzamiento,Expansión a más idiomas,Alemán · portugués · catalán según el mercado objetivo,Producto · i18n,Baja
Post-lanzamiento,Optimización de costes Supabase,Una vez con volumen — analizar consumo + indices + caché para reducir gasto,Infraestructura · Costes,Media
Post-lanzamiento,GDPR compliance auditada,Una vez en producción — auditoría legal con abogado especializado en datos sensibles,Legal · Compliance,Alta
Backlog,Modo embarazo dedicado,Programa específico para embarazadas: nutrición prenatal + ejercicios adaptados por trimestre,Producto · Nicho,Baja
Backlog,Modo perimenopausia / menopausia,Adaptación completa para etapas vitales sin ciclo activo,Producto · Nicho,Baja
Backlog,Sincronización entre dispositivos,Que la app funcione en iPad / iPhone / web del mismo usuario,Producto · Plataforma,Baja
Backlog,Gamificación,Streaks · badges por consistencia · niveles para motivar a las usuarias menos constantes,Producto · Engagement,Baja
Backlog,Exportar datos personales (GDPR),Botón Descargar mis datos en formato JSON o PDF (requisito GDPR),Legal · Compliance,Media
