Tarea,Sprint,Estado,Prioridad,Categoria,Inicio,Fin,Notas
Submission a Google Play,Sprint 4 - Lanzamiento,Por hacer,Critica,Lanzamiento,2026-08-27,2026-08-28,Subir AAB + completar Play Console.
Espera de review (Apple + Google),Sprint 4 - Lanzamiento,Por hacer,Critica,Lanzamiento,2026-08-31,2026-09-07,Tiempo de revision de plataformas (1-2 semanas).
Estrategia de lanzamiento,Sprint 4 - Lanzamiento,Por hacer,Alta,Marketing,2026-09-08,2026-09-11,Product Hunt + redes + email beta testers + prensa.
Soporte al usuario,Post-lanzamiento,Por hacer,Alta,Operaciones,2026-09-14,2026-09-30,Email de soporte + FAQ + respuesta menor 48h.
Responder resenas App Store,Post-lanzamiento,Por hacer,Alta,Marketing,2026-09-14,2026-12-31,Responder en las primeras 24-48h (mejora ASO).
Health Connect Android,Post-lanzamiento,Por hacer,Media,Producto,2026-10-01,2026-10-15,Una vez Expo SDK 55+ con Kotlin 2.x disponible.
Notificaciones push remotas,Post-lanzamiento,Por hacer,Media,Producto,2026-10-15,2026-10-30,Migrar a push servidas desde backend.
Modo oscuro,Post-lanzamiento,Por hacer,Baja,Producto,2026-11-01,2026-11-15,Implementar dark mode en todas las pantallas.
Apple Watch companion app,Post-lanzamiento,Por hacer,Baja,Producto,2026-12-01,2027-01-15,App nativa para watchOS.
Widgets iOS y Android,Post-lanzamiento,Por hacer,Media,Producto,2026-11-15,2026-12-15,Widget con dia del ciclo + sesion de hoy.
Integraciones (Strava y Garmin),Post-lanzamiento,Por hacer,Media,Producto,2026-12-15,2027-01-15,Importar entrenos de otras plataformas.
Compartir con pareja,Post-lanzamiento,Por hacer,Baja,Producto,2027-01-15,2027-02-15,Compartir calendario del ciclo con permisos.
Community Foro in-app,Post-lanzamiento,Por hacer,Baja,Producto,2027-02-01,2027-03-15,Espacio por condicion (PCOS endometriosis).
Recetas con generacion IA,Post-lanzamiento,Por hacer,Media,Producto,2027-01-15,2027-02-15,Recetas IA respetando dieta + alergias + macros.
Coaching humano premium,Post-lanzamiento,Por hacer,Baja,Negocio,2027-03-01,2027-04-30,Tier premium con dietista o coach humano.
Expansion a mas idiomas,Post-lanzamiento,Por hacer,Baja,Producto,2027-02-01,2027-03-01,Aleman portugues o catalan.
Optimizacion de costes Supabase,Post-lanzamiento,Por hacer,Media,Infraestructura,2026-12-01,2026-12-15,Analizar consumo + indices + cache.
GDPR compliance auditada,Post-lanzamiento,Por hacer,Alta,Legal,2026-10-15,2026-11-15,Auditoria legal con abogado especializado.
Modo embarazo dedicado,Backlog,Idea,Baja,Producto,,,Programa especifico embarazadas con nutricion prenatal.
Modo perimenopausia y menopausia,Backlog,Idea,Baja,Producto,,,Adaptacion completa para etapas sin ciclo activo.
Sincronizacion entre dispositivos,Backlog,Idea,Baja,Producto,,,App funcional en iPad iPhone y web.
Gamificacion,Backlog,Idea,Baja,Producto,,,Streaks + badges + niveles para motivar.
Exportar datos personales (GDPR),Backlog,Idea,Media,Legal,,,Boton Descargar mis datos JSON o PDF.
